t,MV,PV,DV
3.500000000000000000e+01,5.000000000000000000e+01,3.900999999999999801e+01,5.000000000000000000e+01
3.600000000000000000e+01,5.000000000000000000e+01,3.894500000000000028e+01,5.000000000000000000e+01
3.700000000000000000e+01,5.000000000000000000e+01,3.894500000000000028e+01,5.000000000000000000e+01
3.800000000000000000e+01,5.000000000000000000e+01,3.884899999999999665e+01,5.000000000000000000e+01
3.900000000000000000e+01,5.000000000000000000e+01,3.871999999999999886e+01,5.000000000000000000e+01
4.000000000000000000e+01,5.000000000000000000e+01,3.881600000000000250e+01,5.000000000000000000e+01
4.100000000000000000e+01,5.000000000000000000e+01,3.894500000000000028e+01,5.000000000000000000e+01
4.200000000000000000e+01,5.000000000000000000e+01,3.894500000000000028e+01,5.000000000000000000e+01
4.300000000000000000e+01,5.000000000000000000e+01,3.894500000000000028e+01,5.000000000000000000e+01
4.400000000000000000e+01,5.000000000000000000e+01,3.894500000000000028e+01,5.000000000000000000e+01
4.500000000000000000e+01,5.000000000000000000e+01,3.894500000000000028e+01,5.000000000000000000e+01
4.600000000000000000e+01,5.000000000000000000e+01,3.904200000000000159e+01,5.000000000000000000e+01
4.700000000000000000e+01,5.000000000000000000e+01,3.917099999999999937e+01,5.000000000000000000e+01
4.800000000000000000e+01,5.000000000000000000e+01,3.923499999999999943e+01,5.000000000000000000e+01
4.900000000000000000e+01,5.000000000000000000e+01,3.926800000000000068e+01,5.000000000000000000e+01
5.000000000000000000e+01,5.000000000000000000e+01,3.926800000000000068e+01,5.000000000000000000e+01
5.100000000000000000e+01,5.000000000000000000e+01,3.926800000000000068e+01,5.000000000000000000e+01
5.200000000000000000e+01,5.000000000000000000e+01,3.926800000000000068e+01,5.000000000000000000e+01
5.300000000000000000e+01,5.000000000000000000e+01,3.926800000000000068e+01,5.000000000000000000e+01
5.400000000000000000e+01,5.000000000000000000e+01,3.926800000000000068e+01,5.000000000000000000e+01
5.500000000000000000e+01,5.000000000000000000e+01,3.926800000000000068e+01,5.000000000000000000e+01
5.600000000000000000e+01,5.000000000000000000e+01,3.933200000000000074e+01,5.000000000000000000e+01
5.700000000000000000e+01,5.000000000000000000e+01,3.939600000000000080e+01,5.000000000000000000e+01
5.800000000000000000e+01,5.000000000000000000e+01,3.933200000000000074e+01,5.000000000000000000e+01
5.900000000000000000e+01,5.000000000000000000e+01,3.959000000000000341e+01,5.000000000000000000e+01
6.000000000000000000e+01,5.000000000000000000e+01,3.952499999999999858e+01,5.000000000000000000e+01
6.100000000000000000e+01,5.000000000000000000e+01,3.962199999999999989e+01,5.000000000000000000e+01
6.200000000000000000e+01,5.000000000000000000e+01,3.991199999999999903e+01,5.000000000000000000e+01
6.300000000000000000e+01,5.000000000000000000e+01,3.991199999999999903e+01,5.000000000000000000e+01
6.400000000000000000e+01,5.000000000000000000e+01,3.991199999999999903e+01,5.000000000000000000e+01
6.500000000000000000e+01,5.000000000000000000e+01,3.991199999999999903e+01,5.000000000000000000e+01
6.600000000000000000e+01,5.000000000000000000e+01,3.991199999999999903e+01,5.000000000000000000e+01
6.700000000000000000e+01,5.000000000000000000e+01,3.991199999999999903e+01,5.000000000000000000e+01
6.800000000000000000e+01,5.000000000000000000e+01,3.997699999999999676e+01,5.000000000000000000e+01
6.900000000000000000e+01,5.000000000000000000e+01,4.023400000000000176e+01,5.000000000000000000e+01
7.000000000000000000e+01,5.000000000000000000e+01,4.023400000000000176e+01,5.000000000000000000e+01
7.100000000000000000e+01,5.000000000000000000e+01,4.033100000000000307e+01,5.000000000000000000e+01
7.200000000000000000e+01,5.000000000000000000e+01,4.033100000000000307e+01,5.000000000000000000e+01
7.300000000000000000e+01,5.000000000000000000e+01,4.033100000000000307e+01,5.000000000000000000e+01
7.400000000000000000e+01,5.000000000000000000e+01,4.052400000000000091e+01,5.000000000000000000e+01
7.500000000000000000e+01,5.000000000000000000e+01,4.055700000000000216e+01,5.000000000000000000e+01
7.600000000000000000e+01,5.000000000000000000e+01,4.055700000000000216e+01,5.000000000000000000e+01
7.700000000000000000e+01,5.000000000000000000e+01,4.055700000000000216e+01,5.000000000000000000e+01
7.800000000000000000e+01,5.000000000000000000e+01,4.062100000000000222e+01,5.000000000000000000e+01
7.900000000000000000e+01,5.000000000000000000e+01,4.087899999999999778e+01,5.000000000000000000e+01
8.000000000000000000e+01,5.000000000000000000e+01,4.091100000000000136e+01,5.000000000000000000e+01
8.100000000000000000e+01,5.000000000000000000e+01,4.116899999999999693e+01,5.000000000000000000e+01
8.200000000000000000e+01,5.000000000000000000e+01,4.120100000000000051e+01,5.000000000000000000e+01
8.300000000000000000e+01,5.000000000000000000e+01,4.120100000000000051e+01,5.000000000000000000e+01
8.400000000000000000e+01,5.000000000000000000e+01,4.120100000000000051e+01,5.000000000000000000e+01
8.500000000000000000e+01,5.000000000000000000e+01,4.120100000000000051e+01,5.000000000000000000e+01
8.600000000000000000e+01,5.000000000000000000e+01,4.123299999999999699e+01,5.000000000000000000e+01
8.700000000000000000e+01,5.000000000000000000e+01,4.149099999999999966e+01,5.000000000000000000e+01
8.800000000000000000e+01,5.000000000000000000e+01,4.152300000000000324e+01,5.000000000000000000e+01
8.900000000000000000e+01,5.000000000000000000e+01,4.152300000000000324e+01,5.000000000000000000e+01
9.000000000000000000e+01,5.000000000000000000e+01,4.152300000000000324e+01,5.000000000000000000e+01
9.100000000000000000e+01,5.000000000000000000e+01,4.152300000000000324e+01,5.000000000000000000e+01
9.200000000000000000e+01,5.000000000000000000e+01,4.152300000000000324e+01,5.000000000000000000e+01
9.300000000000000000e+01,5.000000000000000000e+01,4.152300000000000324e+01,5.000000000000000000e+01
9.400000000000000000e+01,5.000000000000000000e+01,4.152300000000000324e+01,5.000000000000000000e+01
9.500000000000000000e+01,5.000000000000000000e+01,4.168500000000000227e+01,5.000000000000000000e+01
9.600000000000000000e+01,5.000000000000000000e+01,4.184599999999999653e+01,5.000000000000000000e+01
9.700000000000000000e+01,5.000000000000000000e+01,4.184599999999999653e+01,5.000000000000000000e+01
9.800000000000000000e+01,5.000000000000000000e+01,4.184599999999999653e+01,5.000000000000000000e+01
9.900000000000000000e+01,5.000000000000000000e+01,4.168500000000000227e+01,5.000000000000000000e+01
1.000000000000000000e+02,5.000000000000000000e+01,4.216799999999999926e+01,5.000000000000000000e+01
1.010000000000000000e+02,5.000000000000000000e+01,4.220000000000000284e+01,5.000000000000000000e+01
1.020000000000000000e+02,5.000000000000000000e+01,4.216799999999999926e+01,5.000000000000000000e+01
1.030000000000000000e+02,5.000000000000000000e+01,4.216799999999999926e+01,5.000000000000000000e+01
1.040000000000000000e+02,5.000000000000000000e+01,4.223199999999999932e+01,5.000000000000000000e+01
1.050000000000000000e+02,5.000000000000000000e+01,4.242600000000000193e+01,5.000000000000000000e+01
1.060000000000000000e+02,5.000000000000000000e+01,4.245799999999999841e+01,5.000000000000000000e+01
1.070000000000000000e+02,5.000000000000000000e+01,4.249000000000000199e+01,5.000000000000000000e+01
1.080000000000000000e+02,5.000000000000000000e+01,4.249000000000000199e+01,5.000000000000000000e+01
1.090000000000000000e+02,5.000000000000000000e+01,4.245799999999999841e+01,5.000000000000000000e+01
1.100000000000000000e+02,5.000000000000000000e+01,4.261899999999999977e+01,5.000000000000000000e+01
1.110000000000000000e+02,5.000000000000000000e+01,4.265100000000000335e+01,5.000000000000000000e+01
1.120000000000000000e+02,5.000000000000000000e+01,4.265100000000000335e+01,5.000000000000000000e+01
1.130000000000000000e+02,5.000000000000000000e+01,4.281300000000000239e+01,5.000000000000000000e+01
1.140000000000000000e+02,5.000000000000000000e+01,4.281300000000000239e+01,5.000000000000000000e+01
1.150000000000000000e+02,5.000000000000000000e+01,4.281300000000000239e+01,5.000000000000000000e+01
1.160000000000000000e+02,5.000000000000000000e+01,4.281300000000000239e+01,5.000000000000000000e+01
1.170000000000000000e+02,5.000000000000000000e+01,4.281300000000000239e+01,5.000000000000000000e+01
1.180000000000000000e+02,5.000000000000000000e+01,4.274799999999999756e+01,5.000000000000000000e+01
1.190000000000000000e+02,5.000000000000000000e+01,4.313499999999999801e+01,5.000000000000000000e+01
1.200000000000000000e+02,5.000000000000000000e+01,4.313499999999999801e+01,5.000000000000000000e+01
1.210000000000000000e+02,5.000000000000000000e+01,4.316700000000000159e+01,5.000000000000000000e+01
1.220000000000000000e+02,5.000000000000000000e+01,4.313499999999999801e+01,5.000000000000000000e+01
1.230000000000000000e+02,5.000000000000000000e+01,4.329599999999999937e+01,5.000000000000000000e+01
1.240000000000000000e+02,5.000000000000000000e+01,4.335999999999999943e+01,5.000000000000000000e+01
1.250000000000000000e+02,5.000000000000000000e+01,4.287700000000000244e+01,5.000000000000000000e+01
1.260000000000000000e+02,5.000000000000000000e+01,4.345700000000000074e+01,5.000000000000000000e+01
1.270000000000000000e+02,5.000000000000000000e+01,4.345700000000000074e+01,5.000000000000000000e+01
1.280000000000000000e+02,5.000000000000000000e+01,4.345700000000000074e+01,5.000000000000000000e+01
1.290000000000000000e+02,5.000000000000000000e+01,4.345700000000000074e+01,5.000000000000000000e+01
1.300000000000000000e+02,5.000000000000000000e+01,4.345700000000000074e+01,5.000000000000000000e+01
1.310000000000000000e+02,5.000000000000000000e+01,4.345700000000000074e+01,5.000000000000000000e+01
1.320000000000000000e+02,5.000000000000000000e+01,4.345700000000000074e+01,5.000000000000000000e+01
1.330000000000000000e+02,5.000000000000000000e+01,4.345700000000000074e+01,5.000000000000000000e+01
1.340000000000000000e+02,5.000000000000000000e+01,4.345700000000000074e+01,5.000000000000000000e+01
1.350000000000000000e+02,5.000000000000000000e+01,4.342499999999999716e+01,5.000000000000000000e+01
1.360000000000000000e+02,5.000000000000000000e+01,4.342499999999999716e+01,5.000000000000000000e+01
1.370000000000000000e+02,5.000000000000000000e+01,4.290899999999999892e+01,5.000000000000000000e+01
1.380000000000000000e+02,5.000000000000000000e+01,4.339300000000000068e+01,5.000000000000000000e+01
1.390000000000000000e+02,5.000000000000000000e+01,4.342499999999999716e+01,5.000000000000000000e+01
1.400000000000000000e+02,5.000000000000000000e+01,4.307000000000000028e+01,5.000000000000000000e+01
1.410000000000000000e+02,5.000000000000000000e+01,4.345700000000000074e+01,5.000000000000000000e+01
1.420000000000000000e+02,5.000000000000000000e+01,4.345700000000000074e+01,5.000000000000000000e+01
1.430000000000000000e+02,5.000000000000000000e+01,4.355400000000000205e+01,5.000000000000000000e+01
1.440000000000000000e+02,5.000000000000000000e+01,4.339300000000000068e+01,5.000000000000000000e+01
1.450000000000000000e+02,5.000000000000000000e+01,4.377900000000000347e+01,5.000000000000000000e+01
1.460000000000000000e+02,5.000000000000000000e+01,4.377900000000000347e+01,5.000000000000000000e+01
1.470000000000000000e+02,5.000000000000000000e+01,4.377900000000000347e+01,5.000000000000000000e+01
1.480000000000000000e+02,5.000000000000000000e+01,4.381199999999999761e+01,5.000000000000000000e+01
1.490000000000000000e+02,5.000000000000000000e+01,4.377900000000000347e+01,5.000000000000000000e+01
1.500000000000000000e+02,5.000000000000000000e+01,4.381199999999999761e+01,5.000000000000000000e+01
1.510000000000000000e+02,5.000000000000000000e+01,4.403699999999999903e+01,5.000000000000000000e+01
1.520000000000000000e+02,5.000000000000000000e+01,4.355400000000000205e+01,5.000000000000000000e+01
1.530000000000000000e+02,5.000000000000000000e+01,4.410199999999999676e+01,5.000000000000000000e+01
1.540000000000000000e+02,5.000000000000000000e+01,4.410199999999999676e+01,5.000000000000000000e+01
1.550000000000000000e+02,5.000000000000000000e+01,4.377900000000000347e+01,5.000000000000000000e+01
1.560000000000000000e+02,5.000000000000000000e+01,4.439200000000000301e+01,5.000000000000000000e+01
1.570000000000000000e+02,5.000000000000000000e+01,4.439200000000000301e+01,5.000000000000000000e+01
1.580000000000000000e+02,5.000000000000000000e+01,4.439200000000000301e+01,5.000000000000000000e+01
1.590000000000000000e+02,5.000000000000000000e+01,4.442399999999999949e+01,5.000000000000000000e+01
1.600000000000000000e+02,5.000000000000000000e+01,4.393999999999999773e+01,5.000000000000000000e+01
1.610000000000000000e+02,5.000000000000000000e+01,4.445600000000000307e+01,5.000000000000000000e+01
1.620000000000000000e+02,5.000000000000000000e+01,4.442399999999999949e+01,5.000000000000000000e+01
1.630000000000000000e+02,5.000000000000000000e+01,4.461699999999999733e+01,5.000000000000000000e+01
1.640000000000000000e+02,5.000000000000000000e+01,4.468200000000000216e+01,5.000000000000000000e+01
1.650000000000000000e+02,5.000000000000000000e+01,4.474600000000000222e+01,5.000000000000000000e+01
1.660000000000000000e+02,5.000000000000000000e+01,4.474600000000000222e+01,5.000000000000000000e+01
1.670000000000000000e+02,5.000000000000000000e+01,4.503600000000000136e+01,5.000000000000000000e+01
1.680000000000000000e+02,5.000000000000000000e+01,4.506799999999999784e+01,5.000000000000000000e+01
1.690000000000000000e+02,5.000000000000000000e+01,4.510099999999999909e+01,5.000000000000000000e+01
1.700000000000000000e+02,5.000000000000000000e+01,4.510099999999999909e+01,5.000000000000000000e+01
1.710000000000000000e+02,5.000000000000000000e+01,4.539099999999999824e+01,5.000000000000000000e+01
1.720000000000000000e+02,5.000000000000000000e+01,4.539099999999999824e+01,5.000000000000000000e+01
1.730000000000000000e+02,5.000000000000000000e+01,4.539099999999999824e+01,5.000000000000000000e+01
1.740000000000000000e+02,5.000000000000000000e+01,4.539099999999999824e+01,5.000000000000000000e+01
1.750000000000000000e+02,5.000000000000000000e+01,4.539099999999999824e+01,5.000000000000000000e+01
1.760000000000000000e+02,5.000000000000000000e+01,4.548700000000000188e+01,5.000000000000000000e+01
1.770000000000000000e+02,5.000000000000000000e+01,4.568099999999999739e+01,5.000000000000000000e+01
1.780000000000000000e+02,5.000000000000000000e+01,4.571300000000000097e+01,5.000000000000000000e+01
1.790000000000000000e+02,5.000000000000000000e+01,4.571300000000000097e+01,5.000000000000000000e+01
1.800000000000000000e+02,5.000000000000000000e+01,4.571300000000000097e+01,5.000000000000000000e+01
1.810000000000000000e+02,5.000000000000000000e+01,4.571300000000000097e+01,5.000000000000000000e+01
1.820000000000000000e+02,5.000000000000000000e+01,4.571300000000000097e+01,5.000000000000000000e+01
1.830000000000000000e+02,5.000000000000000000e+01,4.571300000000000097e+01,5.000000000000000000e+01
1.840000000000000000e+02,5.000000000000000000e+01,4.574499999999999744e+01,5.000000000000000000e+01
1.850000000000000000e+02,5.000000000000000000e+01,4.571300000000000097e+01,5.000000000000000000e+01
1.860000000000000000e+02,5.000000000000000000e+01,4.571300000000000097e+01,5.000000000000000000e+01
1.870000000000000000e+02,5.000000000000000000e+01,4.539099999999999824e+01,5.000000000000000000e+01
1.880000000000000000e+02,5.000000000000000000e+01,4.571300000000000097e+01,5.000000000000000000e+01
1.890000000000000000e+02,5.000000000000000000e+01,4.568099999999999739e+01,5.000000000000000000e+01
1.900000000000000000e+02,5.000000000000000000e+01,4.552000000000000313e+01,5.000000000000000000e+01
1.910000000000000000e+02,5.000000000000000000e+01,4.552000000000000313e+01,5.000000000000000000e+01
1.920000000000000000e+02,5.000000000000000000e+01,4.561599999999999966e+01,5.000000000000000000e+01
1.930000000000000000e+02,5.000000000000000000e+01,4.568099999999999739e+01,5.000000000000000000e+01
1.940000000000000000e+02,5.000000000000000000e+01,4.571300000000000097e+01,5.000000000000000000e+01
1.950000000000000000e+02,5.000000000000000000e+01,4.571300000000000097e+01,5.000000000000000000e+01
1.960000000000000000e+02,5.000000000000000000e+01,4.571300000000000097e+01,5.000000000000000000e+01
1.970000000000000000e+02,5.000000000000000000e+01,4.571300000000000097e+01,5.000000000000000000e+01
1.980000000000000000e+02,5.000000000000000000e+01,4.571300000000000097e+01,5.000000000000000000e+01
1.990000000000000000e+02,5.000000000000000000e+01,4.571300000000000097e+01,5.000000000000000000e+01
2.000000000000000000e+02,5.000000000000000000e+01,4.568099999999999739e+01,5.000000000000000000e+01
2.010000000000000000e+02,5.000000000000000000e+01,4.545499999999999829e+01,5.000000000000000000e+01
2.020000000000000000e+02,5.000000000000000000e+01,4.548700000000000188e+01,5.000000000000000000e+01
2.030000000000000000e+02,5.000000000000000000e+01,4.539099999999999824e+01,5.000000000000000000e+01
2.040000000000000000e+02,5.000000000000000000e+01,4.539099999999999824e+01,5.000000000000000000e+01
2.050000000000000000e+02,5.000000000000000000e+01,4.539099999999999824e+01,5.000000000000000000e+01
2.060000000000000000e+02,5.000000000000000000e+01,4.539099999999999824e+01,5.000000000000000000e+01
2.070000000000000000e+02,5.000000000000000000e+01,4.539099999999999824e+01,5.000000000000000000e+01
2.080000000000000000e+02,5.000000000000000000e+01,4.539099999999999824e+01,5.000000000000000000e+01
2.090000000000000000e+02,5.000000000000000000e+01,4.539099999999999824e+01,5.000000000000000000e+01
2.100000000000000000e+02,5.000000000000000000e+01,4.539099999999999824e+01,5.000000000000000000e+01
2.110000000000000000e+02,5.000000000000000000e+01,4.539099999999999824e+01,5.000000000000000000e+01
2.120000000000000000e+02,5.000000000000000000e+01,4.529399999999999693e+01,5.000000000000000000e+01
2.130000000000000000e+02,5.000000000000000000e+01,4.529399999999999693e+01,5.000000000000000000e+01
2.140000000000000000e+02,5.000000000000000000e+01,4.522899999999999920e+01,5.000000000000000000e+01
2.150000000000000000e+02,5.000000000000000000e+01,4.539099999999999824e+01,5.000000000000000000e+01
2.160000000000000000e+02,5.000000000000000000e+01,4.532600000000000051e+01,5.000000000000000000e+01
2.170000000000000000e+02,5.000000000000000000e+01,4.500399999999999778e+01,5.000000000000000000e+01
2.180000000000000000e+02,5.000000000000000000e+01,4.535799999999999699e+01,5.000000000000000000e+01
2.190000000000000000e+02,5.000000000000000000e+01,4.522899999999999920e+01,5.000000000000000000e+01
2.200000000000000000e+02,5.000000000000000000e+01,4.539099999999999824e+01,5.000000000000000000e+01
2.210000000000000000e+02,5.000000000000000000e+01,4.500399999999999778e+01,5.000000000000000000e+01
2.220000000000000000e+02,5.000000000000000000e+01,4.539099999999999824e+01,5.000000000000000000e+01
2.230000000000000000e+02,5.000000000000000000e+01,4.539099999999999824e+01,5.000000000000000000e+01
2.240000000000000000e+02,5.000000000000000000e+01,4.539099999999999824e+01,5.000000000000000000e+01
2.250000000000000000e+02,5.000000000000000000e+01,4.539099999999999824e+01,5.000000000000000000e+01
2.260000000000000000e+02,5.000000000000000000e+01,4.539099999999999824e+01,5.000000000000000000e+01
2.270000000000000000e+02,5.000000000000000000e+01,4.539099999999999824e+01,5.000000000000000000e+01
2.280000000000000000e+02,5.000000000000000000e+01,4.542300000000000182e+01,5.000000000000000000e+01
2.290000000000000000e+02,5.000000000000000000e+01,4.571300000000000097e+01,5.000000000000000000e+01
2.300000000000000000e+02,5.000000000000000000e+01,4.571300000000000097e+01,5.000000000000000000e+01
2.310000000000000000e+02,5.000000000000000000e+01,4.584199999999999875e+01,5.000000000000000000e+01
2.320000000000000000e+02,5.000000000000000000e+01,4.584199999999999875e+01,5.000000000000000000e+01
2.330000000000000000e+02,5.000000000000000000e+01,4.587400000000000233e+01,5.000000000000000000e+01
2.340000000000000000e+02,5.000000000000000000e+01,4.597099999999999653e+01,5.000000000000000000e+01
2.350000000000000000e+02,5.000000000000000000e+01,4.603499999999999659e+01,5.000000000000000000e+01
2.360000000000000000e+02,5.000000000000000000e+01,4.603499999999999659e+01,5.000000000000000000e+01
2.370000000000000000e+02,5.000000000000000000e+01,4.603499999999999659e+01,5.000000000000000000e+01
2.380000000000000000e+02,5.000000000000000000e+01,4.603499999999999659e+01,5.000000000000000000e+01
2.390000000000000000e+02,5.000000000000000000e+01,4.600300000000000011e+01,5.000000000000000000e+01
2.400000000000000000e+02,5.000000000000000000e+01,4.600300000000000011e+01,5.000000000000000000e+01
2.410000000000000000e+02,5.000000000000000000e+01,4.603499999999999659e+01,5.000000000000000000e+01
2.420000000000000000e+02,5.000000000000000000e+01,4.603499999999999659e+01,5.000000000000000000e+01
2.430000000000000000e+02,5.000000000000000000e+01,4.603499999999999659e+01,5.000000000000000000e+01
2.440000000000000000e+02,5.000000000000000000e+01,4.603499999999999659e+01,5.000000000000000000e+01
2.450000000000000000e+02,5.000000000000000000e+01,4.610000000000000142e+01,5.000000000000000000e+01
2.460000000000000000e+02,5.000000000000000000e+01,4.603499999999999659e+01,5.000000000000000000e+01
2.470000000000000000e+02,5.000000000000000000e+01,4.610000000000000142e+01,5.000000000000000000e+01
2.480000000000000000e+02,5.000000000000000000e+01,4.613199999999999790e+01,5.000000000000000000e+01
2.490000000000000000e+02,5.000000000000000000e+01,4.603499999999999659e+01,5.000000000000000000e+01
2.500000000000000000e+02,5.000000000000000000e+01,4.603499999999999659e+01,5.000000000000000000e+01
2.510000000000000000e+02,5.000000000000000000e+01,4.606700000000000017e+01,5.000000000000000000e+01
2.520000000000000000e+02,5.000000000000000000e+01,4.635699999999999932e+01,5.000000000000000000e+01
2.530000000000000000e+02,5.000000000000000000e+01,4.632500000000000284e+01,5.000000000000000000e+01
2.540000000000000000e+02,5.000000000000000000e+01,4.632500000000000284e+01,5.000000000000000000e+01
2.550000000000000000e+02,5.000000000000000000e+01,4.635699999999999932e+01,5.000000000000000000e+01
2.560000000000000000e+02,5.000000000000000000e+01,4.635699999999999932e+01,5.000000000000000000e+01
2.570000000000000000e+02,5.000000000000000000e+01,4.635699999999999932e+01,5.000000000000000000e+01
2.580000000000000000e+02,5.000000000000000000e+01,4.635699999999999932e+01,5.000000000000000000e+01
2.590000000000000000e+02,5.000000000000000000e+01,4.645400000000000063e+01,5.000000000000000000e+01
2.600000000000000000e+02,5.000000000000000000e+01,4.667999999999999972e+01,5.000000000000000000e+01
2.610000000000000000e+02,5.000000000000000000e+01,4.667999999999999972e+01,5.000000000000000000e+01
2.620000000000000000e+02,5.000000000000000000e+01,4.671200000000000330e+01,5.000000000000000000e+01
2.630000000000000000e+02,5.000000000000000000e+01,4.696999999999999886e+01,5.000000000000000000e+01
2.640000000000000000e+02,5.000000000000000000e+01,4.700200000000000244e+01,5.000000000000000000e+01
2.650000000000000000e+02,5.000000000000000000e+01,4.706600000000000250e+01,5.000000000000000000e+01
2.660000000000000000e+02,5.000000000000000000e+01,4.725999999999999801e+01,5.000000000000000000e+01
2.670000000000000000e+02,5.000000000000000000e+01,4.725999999999999801e+01,5.000000000000000000e+01
2.680000000000000000e+02,5.000000000000000000e+01,4.732399999999999807e+01,5.000000000000000000e+01
2.690000000000000000e+02,5.000000000000000000e+01,4.729200000000000159e+01,5.000000000000000000e+01
2.700000000000000000e+02,5.000000000000000000e+01,4.722800000000000153e+01,5.000000000000000000e+01
2.710000000000000000e+02,5.000000000000000000e+01,4.713100000000000023e+01,5.000000000000000000e+01
2.720000000000000000e+02,5.000000000000000000e+01,4.700200000000000244e+01,5.000000000000000000e+01
2.730000000000000000e+02,5.000000000000000000e+01,4.700200000000000244e+01,5.000000000000000000e+01
2.740000000000000000e+02,5.000000000000000000e+01,4.700200000000000244e+01,5.000000000000000000e+01
2.750000000000000000e+02,5.000000000000000000e+01,4.700200000000000244e+01,5.000000000000000000e+01
2.760000000000000000e+02,5.000000000000000000e+01,4.696999999999999886e+01,5.000000000000000000e+01
2.770000000000000000e+02,5.000000000000000000e+01,4.700200000000000244e+01,5.000000000000000000e+01
2.780000000000000000e+02,5.000000000000000000e+01,4.700200000000000244e+01,5.000000000000000000e+01
2.790000000000000000e+02,5.000000000000000000e+01,4.706600000000000250e+01,5.000000000000000000e+01
2.800000000000000000e+02,5.000000000000000000e+01,4.732399999999999807e+01,5.000000000000000000e+01
2.810000000000000000e+02,5.000000000000000000e+01,4.732399999999999807e+01,5.000000000000000000e+01
2.820000000000000000e+02,5.000000000000000000e+01,4.732399999999999807e+01,5.000000000000000000e+01
2.830000000000000000e+02,5.000000000000000000e+01,4.735600000000000165e+01,5.000000000000000000e+01
2.840000000000000000e+02,5.000000000000000000e+01,4.751800000000000068e+01,5.000000000000000000e+01
2.850000000000000000e+02,5.000000000000000000e+01,4.761399999999999721e+01,5.000000000000000000e+01
2.860000000000000000e+02,5.000000000000000000e+01,4.764600000000000080e+01,5.000000000000000000e+01
2.870000000000000000e+02,5.000000000000000000e+01,4.764600000000000080e+01,5.000000000000000000e+01
2.880000000000000000e+02,5.000000000000000000e+01,4.764600000000000080e+01,5.000000000000000000e+01
2.890000000000000000e+02,5.000000000000000000e+01,4.764600000000000080e+01,5.000000000000000000e+01
2.900000000000000000e+02,5.000000000000000000e+01,4.764600000000000080e+01,5.000000000000000000e+01
