t,MV,PV,DV
6.300000000000000000e+01,5.000000000000000000e+01,4.152300000000000324e+01,5.000000000000000000e+01
6.400000000000000000e+01,5.000000000000000000e+01,4.113700000000000045e+01,5.000000000000000000e+01
6.500000000000000000e+01,5.000000000000000000e+01,4.145900000000000318e+01,5.000000000000000000e+01
6.600000000000000000e+01,5.000000000000000000e+01,4.152300000000000324e+01,5.000000000000000000e+01
6.700000000000000000e+01,5.000000000000000000e+01,4.097599999999999909e+01,5.000000000000000000e+01
6.800000000000000000e+01,5.000000000000000000e+01,4.152300000000000324e+01,5.000000000000000000e+01
6.900000000000000000e+01,5.000000000000000000e+01,4.152300000000000324e+01,5.000000000000000000e+01
7.000000000000000000e+01,5.000000000000000000e+01,4.152300000000000324e+01,5.000000000000000000e+01
7.100000000000000000e+01,5.000000000000000000e+01,4.152300000000000324e+01,5.000000000000000000e+01
7.200000000000000000e+01,5.000000000000000000e+01,4.152300000000000324e+01,5.000000000000000000e+01
7.300000000000000000e+01,5.000000000000000000e+01,4.165200000000000102e+01,5.000000000000000000e+01
7.400000000000000000e+01,5.000000000000000000e+01,4.184599999999999653e+01,5.000000000000000000e+01
7.500000000000000000e+01,5.000000000000000000e+01,4.184599999999999653e+01,5.000000000000000000e+01
7.600000000000000000e+01,5.000000000000000000e+01,4.184599999999999653e+01,5.000000000000000000e+01
7.700000000000000000e+01,5.000000000000000000e+01,4.184599999999999653e+01,5.000000000000000000e+01
7.800000000000000000e+01,5.000000000000000000e+01,4.207099999999999795e+01,5.000000000000000000e+01
7.900000000000000000e+01,5.000000000000000000e+01,4.216799999999999926e+01,5.000000000000000000e+01
8.000000000000000000e+01,5.000000000000000000e+01,4.216799999999999926e+01,5.000000000000000000e+01
8.100000000000000000e+01,5.000000000000000000e+01,4.216799999999999926e+01,5.000000000000000000e+01
8.200000000000000000e+01,5.000000000000000000e+01,4.232900000000000063e+01,5.000000000000000000e+01
8.300000000000000000e+01,5.000000000000000000e+01,4.249000000000000199e+01,5.000000000000000000e+01
8.400000000000000000e+01,5.000000000000000000e+01,4.249000000000000199e+01,5.000000000000000000e+01
8.500000000000000000e+01,5.000000000000000000e+01,4.249000000000000199e+01,5.000000000000000000e+01
8.600000000000000000e+01,5.000000000000000000e+01,4.249000000000000199e+01,5.000000000000000000e+01
8.700000000000000000e+01,5.000000000000000000e+01,4.268399999999999750e+01,5.000000000000000000e+01
8.800000000000000000e+01,5.000000000000000000e+01,4.281300000000000239e+01,5.000000000000000000e+01
8.900000000000000000e+01,5.000000000000000000e+01,4.281300000000000239e+01,5.000000000000000000e+01
9.000000000000000000e+01,5.000000000000000000e+01,4.281300000000000239e+01,5.000000000000000000e+01
9.100000000000000000e+01,5.000000000000000000e+01,4.281300000000000239e+01,5.000000000000000000e+01
9.200000000000000000e+01,5.000000000000000000e+01,4.297399999999999665e+01,5.000000000000000000e+01
9.300000000000000000e+01,5.000000000000000000e+01,4.303799999999999670e+01,5.000000000000000000e+01
9.400000000000000000e+01,5.000000000000000000e+01,4.310300000000000153e+01,5.000000000000000000e+01
9.500000000000000000e+01,5.000000000000000000e+01,4.313499999999999801e+01,5.000000000000000000e+01
9.600000000000000000e+01,5.000000000000000000e+01,4.313499999999999801e+01,5.000000000000000000e+01
9.700000000000000000e+01,5.000000000000000000e+01,4.313499999999999801e+01,5.000000000000000000e+01
9.800000000000000000e+01,5.000000000000000000e+01,4.313499999999999801e+01,5.000000000000000000e+01
9.900000000000000000e+01,5.000000000000000000e+01,4.310300000000000153e+01,5.000000000000000000e+01
1.000000000000000000e+02,5.000000000000000000e+01,4.316700000000000159e+01,5.000000000000000000e+01
1.010000000000000000e+02,5.000000000000000000e+01,4.313499999999999801e+01,5.000000000000000000e+01
1.020000000000000000e+02,5.000000000000000000e+01,4.316700000000000159e+01,5.000000000000000000e+01
1.030000000000000000e+02,5.000000000000000000e+01,4.323100000000000165e+01,5.000000000000000000e+01
1.040000000000000000e+02,5.000000000000000000e+01,4.319899999999999807e+01,5.000000000000000000e+01
1.050000000000000000e+02,5.000000000000000000e+01,4.342499999999999716e+01,5.000000000000000000e+01
1.060000000000000000e+02,5.000000000000000000e+01,4.345700000000000074e+01,5.000000000000000000e+01
1.070000000000000000e+02,5.000000000000000000e+01,4.345700000000000074e+01,5.000000000000000000e+01
1.080000000000000000e+02,5.000000000000000000e+01,4.348899999999999721e+01,5.000000000000000000e+01
1.090000000000000000e+02,5.000000000000000000e+01,4.348899999999999721e+01,5.000000000000000000e+01
1.100000000000000000e+02,5.000000000000000000e+01,4.345700000000000074e+01,5.000000000000000000e+01
1.110000000000000000e+02,5.000000000000000000e+01,4.374699999999999989e+01,5.000000000000000000e+01
1.120000000000000000e+02,5.000000000000000000e+01,4.377900000000000347e+01,5.000000000000000000e+01
1.130000000000000000e+02,5.000000000000000000e+01,4.377900000000000347e+01,5.000000000000000000e+01
1.140000000000000000e+02,5.000000000000000000e+01,4.377900000000000347e+01,5.000000000000000000e+01
1.150000000000000000e+02,5.000000000000000000e+01,4.390800000000000125e+01,5.000000000000000000e+01
1.160000000000000000e+02,5.000000000000000000e+01,4.377900000000000347e+01,5.000000000000000000e+01
1.170000000000000000e+02,5.000000000000000000e+01,4.400500000000000256e+01,5.000000000000000000e+01
1.180000000000000000e+02,5.000000000000000000e+01,4.390800000000000125e+01,5.000000000000000000e+01
1.190000000000000000e+02,5.000000000000000000e+01,4.390800000000000125e+01,5.000000000000000000e+01
1.200000000000000000e+02,5.000000000000000000e+01,4.400500000000000256e+01,5.000000000000000000e+01
1.210000000000000000e+02,5.000000000000000000e+01,4.410199999999999676e+01,5.000000000000000000e+01
1.220000000000000000e+02,5.000000000000000000e+01,4.410199999999999676e+01,5.000000000000000000e+01
1.230000000000000000e+02,5.000000000000000000e+01,4.410199999999999676e+01,5.000000000000000000e+01
1.240000000000000000e+02,5.000000000000000000e+01,4.426299999999999812e+01,5.000000000000000000e+01
1.250000000000000000e+02,5.000000000000000000e+01,4.435900000000000176e+01,5.000000000000000000e+01
1.260000000000000000e+02,5.000000000000000000e+01,4.442399999999999949e+01,5.000000000000000000e+01
1.270000000000000000e+02,5.000000000000000000e+01,4.442399999999999949e+01,5.000000000000000000e+01
1.280000000000000000e+02,5.000000000000000000e+01,4.448799999999999955e+01,5.000000000000000000e+01
1.290000000000000000e+02,5.000000000000000000e+01,4.464900000000000091e+01,5.000000000000000000e+01
1.300000000000000000e+02,5.000000000000000000e+01,4.464900000000000091e+01,5.000000000000000000e+01
1.310000000000000000e+02,5.000000000000000000e+01,4.448799999999999955e+01,5.000000000000000000e+01
1.320000000000000000e+02,5.000000000000000000e+01,4.468200000000000216e+01,5.000000000000000000e+01
1.330000000000000000e+02,5.000000000000000000e+01,4.474600000000000222e+01,5.000000000000000000e+01
1.340000000000000000e+02,5.000000000000000000e+01,4.474600000000000222e+01,5.000000000000000000e+01
1.350000000000000000e+02,5.000000000000000000e+01,4.474600000000000222e+01,5.000000000000000000e+01
1.360000000000000000e+02,5.000000000000000000e+01,4.474600000000000222e+01,5.000000000000000000e+01
1.370000000000000000e+02,5.000000000000000000e+01,4.497200000000000131e+01,5.000000000000000000e+01
1.380000000000000000e+02,5.000000000000000000e+01,4.506799999999999784e+01,5.000000000000000000e+01
1.390000000000000000e+02,5.000000000000000000e+01,4.506799999999999784e+01,5.000000000000000000e+01
1.400000000000000000e+02,5.000000000000000000e+01,4.506799999999999784e+01,5.000000000000000000e+01
1.410000000000000000e+02,5.000000000000000000e+01,4.519700000000000273e+01,5.000000000000000000e+01
1.420000000000000000e+02,5.000000000000000000e+01,4.526200000000000045e+01,5.000000000000000000e+01
1.430000000000000000e+02,5.000000000000000000e+01,4.539099999999999824e+01,5.000000000000000000e+01
1.440000000000000000e+02,5.000000000000000000e+01,4.539099999999999824e+01,5.000000000000000000e+01
1.450000000000000000e+02,5.000000000000000000e+01,4.539099999999999824e+01,5.000000000000000000e+01
1.460000000000000000e+02,5.000000000000000000e+01,4.542300000000000182e+01,5.000000000000000000e+01
1.470000000000000000e+02,5.000000000000000000e+01,4.561599999999999966e+01,5.000000000000000000e+01
1.480000000000000000e+02,5.000000000000000000e+01,4.568099999999999739e+01,5.000000000000000000e+01
1.490000000000000000e+02,5.000000000000000000e+01,4.571300000000000097e+01,5.000000000000000000e+01
1.500000000000000000e+02,5.000000000000000000e+01,4.571300000000000097e+01,5.000000000000000000e+01
1.510000000000000000e+02,5.000000000000000000e+01,4.571300000000000097e+01,5.000000000000000000e+01
1.520000000000000000e+02,5.000000000000000000e+01,4.571300000000000097e+01,5.000000000000000000e+01
1.530000000000000000e+02,5.000000000000000000e+01,4.571300000000000097e+01,5.000000000000000000e+01
1.540000000000000000e+02,5.000000000000000000e+01,4.571300000000000097e+01,5.000000000000000000e+01
1.550000000000000000e+02,5.000000000000000000e+01,4.581000000000000227e+01,5.000000000000000000e+01
1.560000000000000000e+02,5.000000000000000000e+01,4.603499999999999659e+01,5.000000000000000000e+01
1.570000000000000000e+02,5.000000000000000000e+01,4.603499999999999659e+01,5.000000000000000000e+01
1.580000000000000000e+02,5.000000000000000000e+01,4.603499999999999659e+01,5.000000000000000000e+01
1.590000000000000000e+02,5.000000000000000000e+01,4.603499999999999659e+01,5.000000000000000000e+01
1.600000000000000000e+02,5.000000000000000000e+01,4.606700000000000017e+01,5.000000000000000000e+01
1.610000000000000000e+02,5.000000000000000000e+01,4.632500000000000284e+01,5.000000000000000000e+01
1.620000000000000000e+02,5.000000000000000000e+01,4.635699999999999932e+01,5.000000000000000000e+01
1.630000000000000000e+02,5.000000000000000000e+01,4.629299999999999926e+01,5.000000000000000000e+01
1.640000000000000000e+02,5.000000000000000000e+01,4.635699999999999932e+01,5.000000000000000000e+01
1.650000000000000000e+02,5.000000000000000000e+01,4.635699999999999932e+01,5.000000000000000000e+01
1.660000000000000000e+02,5.000000000000000000e+01,4.635699999999999932e+01,5.000000000000000000e+01
1.670000000000000000e+02,5.000000000000000000e+01,4.635699999999999932e+01,5.000000000000000000e+01
1.680000000000000000e+02,5.000000000000000000e+01,4.635699999999999932e+01,5.000000000000000000e+01
1.690000000000000000e+02,5.000000000000000000e+01,4.639000000000000057e+01,5.000000000000000000e+01
1.700000000000000000e+02,5.000000000000000000e+01,4.661500000000000199e+01,5.000000000000000000e+01
1.710000000000000000e+02,5.000000000000000000e+01,4.664699999999999847e+01,5.000000000000000000e+01
1.720000000000000000e+02,5.000000000000000000e+01,4.667999999999999972e+01,5.000000000000000000e+01
1.730000000000000000e+02,5.000000000000000000e+01,4.667999999999999972e+01,5.000000000000000000e+01
1.740000000000000000e+02,5.000000000000000000e+01,4.667999999999999972e+01,5.000000000000000000e+01
1.750000000000000000e+02,5.000000000000000000e+01,4.674399999999999977e+01,5.000000000000000000e+01
1.760000000000000000e+02,5.000000000000000000e+01,4.680899999999999750e+01,5.000000000000000000e+01
1.770000000000000000e+02,5.000000000000000000e+01,4.684100000000000108e+01,5.000000000000000000e+01
1.780000000000000000e+02,5.000000000000000000e+01,4.700200000000000244e+01,5.000000000000000000e+01
1.790000000000000000e+02,5.000000000000000000e+01,4.700200000000000244e+01,5.000000000000000000e+01
1.800000000000000000e+02,5.000000000000000000e+01,4.700200000000000244e+01,5.000000000000000000e+01
1.810000000000000000e+02,5.000000000000000000e+01,4.700200000000000244e+01,5.000000000000000000e+01
1.820000000000000000e+02,5.000000000000000000e+01,4.703399999999999892e+01,5.000000000000000000e+01
1.830000000000000000e+02,5.000000000000000000e+01,4.719500000000000028e+01,5.000000000000000000e+01
1.840000000000000000e+02,5.000000000000000000e+01,4.722800000000000153e+01,5.000000000000000000e+01
1.850000000000000000e+02,5.000000000000000000e+01,4.729200000000000159e+01,5.000000000000000000e+01
1.860000000000000000e+02,5.000000000000000000e+01,4.732399999999999807e+01,5.000000000000000000e+01
1.870000000000000000e+02,5.000000000000000000e+01,4.732399999999999807e+01,5.000000000000000000e+01
1.880000000000000000e+02,5.000000000000000000e+01,4.732399999999999807e+01,5.000000000000000000e+01
1.890000000000000000e+02,5.000000000000000000e+01,4.732399999999999807e+01,5.000000000000000000e+01
1.900000000000000000e+02,5.000000000000000000e+01,4.732399999999999807e+01,5.000000000000000000e+01
1.910000000000000000e+02,5.000000000000000000e+01,4.732399999999999807e+01,5.000000000000000000e+01
1.920000000000000000e+02,5.000000000000000000e+01,4.732399999999999807e+01,5.000000000000000000e+01
1.930000000000000000e+02,5.000000000000000000e+01,4.732399999999999807e+01,5.000000000000000000e+01
1.940000000000000000e+02,5.000000000000000000e+01,4.732399999999999807e+01,5.000000000000000000e+01
1.950000000000000000e+02,5.000000000000000000e+01,4.703399999999999892e+01,5.000000000000000000e+01
1.960000000000000000e+02,5.000000000000000000e+01,4.732399999999999807e+01,5.000000000000000000e+01
1.970000000000000000e+02,5.000000000000000000e+01,4.732399999999999807e+01,5.000000000000000000e+01
1.980000000000000000e+02,5.000000000000000000e+01,4.732399999999999807e+01,5.000000000000000000e+01
1.990000000000000000e+02,5.000000000000000000e+01,4.732399999999999807e+01,5.000000000000000000e+01
2.000000000000000000e+02,5.000000000000000000e+01,4.709899999999999665e+01,5.000000000000000000e+01
2.010000000000000000e+02,5.000000000000000000e+01,4.700200000000000244e+01,5.000000000000000000e+01
2.020000000000000000e+02,5.000000000000000000e+01,4.700200000000000244e+01,5.000000000000000000e+01
2.030000000000000000e+02,5.000000000000000000e+01,4.680899999999999750e+01,5.000000000000000000e+01
2.040000000000000000e+02,5.000000000000000000e+01,4.700200000000000244e+01,5.000000000000000000e+01
2.050000000000000000e+02,5.000000000000000000e+01,4.700200000000000244e+01,5.000000000000000000e+01
2.060000000000000000e+02,5.000000000000000000e+01,4.700200000000000244e+01,5.000000000000000000e+01
2.070000000000000000e+02,5.000000000000000000e+01,4.700200000000000244e+01,5.000000000000000000e+01
2.080000000000000000e+02,5.000000000000000000e+01,4.700200000000000244e+01,5.000000000000000000e+01
2.090000000000000000e+02,5.000000000000000000e+01,4.700200000000000244e+01,5.000000000000000000e+01
2.100000000000000000e+02,5.000000000000000000e+01,4.700200000000000244e+01,5.000000000000000000e+01
2.110000000000000000e+02,5.000000000000000000e+01,4.700200000000000244e+01,5.000000000000000000e+01
2.120000000000000000e+02,5.000000000000000000e+01,4.700200000000000244e+01,5.000000000000000000e+01
2.130000000000000000e+02,5.000000000000000000e+01,4.687299999999999756e+01,5.000000000000000000e+01
2.140000000000000000e+02,5.000000000000000000e+01,4.700200000000000244e+01,5.000000000000000000e+01
2.150000000000000000e+02,5.000000000000000000e+01,4.700200000000000244e+01,5.000000000000000000e+01
2.160000000000000000e+02,5.000000000000000000e+01,4.703399999999999892e+01,5.000000000000000000e+01
2.170000000000000000e+02,5.000000000000000000e+01,4.700200000000000244e+01,5.000000000000000000e+01
2.180000000000000000e+02,5.000000000000000000e+01,4.725999999999999801e+01,5.000000000000000000e+01
2.190000000000000000e+02,5.000000000000000000e+01,4.732399999999999807e+01,5.000000000000000000e+01
2.200000000000000000e+02,5.000000000000000000e+01,4.732399999999999807e+01,5.000000000000000000e+01
2.210000000000000000e+02,5.000000000000000000e+01,4.732399999999999807e+01,5.000000000000000000e+01
2.220000000000000000e+02,5.000000000000000000e+01,4.732399999999999807e+01,5.000000000000000000e+01
2.230000000000000000e+02,5.000000000000000000e+01,4.732399999999999807e+01,5.000000000000000000e+01
2.240000000000000000e+02,5.000000000000000000e+01,4.732399999999999807e+01,5.000000000000000000e+01
2.250000000000000000e+02,5.000000000000000000e+01,4.729200000000000159e+01,5.000000000000000000e+01
2.260000000000000000e+02,5.000000000000000000e+01,4.732399999999999807e+01,5.000000000000000000e+01
2.270000000000000000e+02,5.000000000000000000e+01,4.629299999999999926e+01,5.000000000000000000e+01
2.280000000000000000e+02,5.000000000000000000e+01,4.729200000000000159e+01,5.000000000000000000e+01
2.290000000000000000e+02,5.000000000000000000e+01,4.732399999999999807e+01,5.000000000000000000e+01
2.300000000000000000e+02,5.000000000000000000e+01,4.706600000000000250e+01,5.000000000000000000e+01
2.310000000000000000e+02,5.000000000000000000e+01,4.700200000000000244e+01,5.000000000000000000e+01
2.320000000000000000e+02,5.000000000000000000e+01,4.700200000000000244e+01,5.000000000000000000e+01
2.330000000000000000e+02,5.000000000000000000e+01,4.700200000000000244e+01,5.000000000000000000e+01
2.340000000000000000e+02,5.000000000000000000e+01,4.709899999999999665e+01,5.000000000000000000e+01
2.350000000000000000e+02,5.000000000000000000e+01,4.729200000000000159e+01,5.000000000000000000e+01
2.360000000000000000e+02,5.000000000000000000e+01,4.732399999999999807e+01,5.000000000000000000e+01
2.370000000000000000e+02,5.000000000000000000e+01,4.732399999999999807e+01,5.000000000000000000e+01
2.380000000000000000e+02,5.000000000000000000e+01,4.732399999999999807e+01,5.000000000000000000e+01
2.390000000000000000e+02,5.000000000000000000e+01,4.732399999999999807e+01,5.000000000000000000e+01
